"","ticker","transaction","cost_share","number_shares","total_value","datetime","date","time"
"140","DDOG","Proposed Sale",160,"2,573","411,680","Dec 02 04:02 PM","2025-12-02",16:02:00
"141","YELP","Proposed Sale",28.85,"195","5,626","Dec 02 04:02 PM","2025-12-02",16:02:00
"142","CNXC","Sale",35.5,"500","17,750","Dec 02 04:02 PM","2025-12-02",16:02:00
"143","DDOG","Proposed Sale",160,"13,868","2,218,880","Dec 02 04:01 PM","2025-12-02",16:01:00
"144","IRTC","Proposed Sale",184.83,"280","51,752","Dec 02 04:01 PM","2025-12-02",16:01:00
"145","APH","Sale",142,"80,000","11,360,232","Dec 02 04:01 PM","2025-12-02",16:01:00
"146","DDOG","Proposed Sale",160,"15,337","2,453,920","Dec 02 04:01 PM","2025-12-02",16:01:00
"147","DOCU","Proposed Sale",68.54,"365","25,017","Dec 02 04:01 PM","2025-12-02",16:01:00
"148","DDOG","Proposed Sale",160,"8,572","1,371,520","Dec 02 04:01 PM","2025-12-02",16:01:00
"149","BATRA","Sale",39.46,"20,000","789,180","Dec 02 04:01 PM","2025-12-02",16:01:00
"150","BATRK","Sale",39.46,"20,000","789,180","Dec 02 04:01 PM","2025-12-02",16:01:00
"151","HGBL","Sale",1.31,"3,734","4,892","Dec 02 04:00 PM","2025-12-02",16:00:00
"152","ROP","Sale",445.56,"6,000","2,673,390","Dec 02 04:00 PM","2025-12-02",16:00:00
"153","PEN","Proposed Sale",292.98,"100","29,298","Dec 02 03:59 PM","2025-12-02",15:59:00
"154","UTHR","Proposed Sale",481.29,"4,000","1,925,143","Dec 02 03:58 PM","2025-12-02",15:58:00
"155","TTWO","Proposed Sale",248.11,"1,107","274,655","Dec 02 03:56 PM","2025-12-02",15:56:00
"156","ALUR","Proposed Sale",1.36,"3,212","4,384","Dec 02 03:56 PM","2025-12-02",15:56:00
"157","CAT","Sale",571.44,"10,000","5,714,448","Dec 02 03:53 PM","2025-12-02",15:53:00
"158","TTWO","Proposed Sale",248.11,"1,612","399,949","Dec 02 03:48 PM","2025-12-02",15:48:00
"159","WHG","Proposed Sale",16.36,"13,058","213,629","Dec 02 03:41 PM","2025-12-02",15:41:00
"160","CPF","Proposed Sale",30,"5,000","150,000","Dec 02 03:41 PM","2025-12-02",15:41:00
"161","GRX","Sale",9.12,"2,000","18,240","Dec 02 03:38 PM","2025-12-02",15:38:00
"162","GRX","Sale",9.2,"2,000","18,400","Dec 02 03:38 PM","2025-12-02",15:38:00
"163","GRX","Sale",9.5,"200","1,900","Dec 02 03:38 PM","2025-12-02",15:38:00
"164","GRX","Sale",9.5,"800","7,600","Dec 02 03:38 PM","2025-12-02",15:38:00
"165","GRX","Sale",9.26,"1,000","9,261","Dec 02 03:38 PM","2025-12-02",15:38:00
"166","GRX","Sale",9.27,"1,000","9,270","Dec 02 03:38 PM","2025-12-02",15:38:00
"167","GRX","Sale",9.15,"1,000","9,154","Dec 02 03:38 PM","2025-12-02",15:38:00
"168","GRX","Sale",9.12,"1,000","9,122","Dec 02 03:38 PM","2025-12-02",15:38:00
"169","U","Sale",41.93,"250,000","10,482,692","Dec 02 03:31 PM","2025-12-02",15:31:00
"170","TMO","Proposed Sale",581.92,"30,000","17,457,611","Dec 02 03:29 PM","2025-12-02",15:29:00
"171","SITM","Proposed Sale",302,"1,500","453,000","Dec 02 03:28 PM","2025-12-02",15:28:00
"172","U","Sale",42.47,"1,988","84,430","Dec 02 03:17 PM","2025-12-02",15:17:00
"173","IAS","Proposed Sale",10.28,"2,781","28,591","Dec 02 03:15 PM","2025-12-02",15:15:00
"174","SERV","Proposed Sale",9.82,"2,057","20,203","Dec 02 03:12 PM","2025-12-02",15:12:00
"175","PTCT","Proposed Sale",79.07,"3,428","271,063","Dec 02 03:11 PM","2025-12-02",15:11:00
"176","BFLY","Proposed Sale",2.83,"1,686","4,769","Dec 02 03:11 PM","2025-12-02",15:11:00
"177","PRU","Proposed Sale",107.69,"8,000","861,520","Dec 02 02:56 PM","2025-12-02",14:56:00
"178","BCRX","Proposed Sale",7.21,"50,906","367,216","Dec 02 02:09 PM","2025-12-02",14:09:00
"179","ABNB","Proposed Sale",120,"11,539","1,384,680","Dec 02 02:02 PM","2025-12-02",14:02:00
"180","FNB","Proposed Sale",16.75,"40,000","670,093","Dec 02 01:46 PM","2025-12-02",13:46:00
"181","MNSB","Proposed Sale",19.7,"40,586","799,544","Dec 02 01:26 PM","2025-12-02",13:26:00
"182","MDB","Proposed Sale",409.94,"4,000","1,639,743","Dec 02 01:20 PM","2025-12-02",13:20:00
"183","KAR","Proposed Sale",25.86,"88,062","2,277,283","Dec 02 12:59 PM","2025-12-02",12:59:00
"184","REXR","Proposed Sale",41.5,"80,250","3,330,375","Dec 02 12:55 PM","2025-12-02",12:55:00
"185","GDV","Sale",26.78,"420","11,248","Dec 02 12:53 PM","2025-12-02",12:53:00
"186","GDV","Sale",26.86,"500","13,430","Dec 02 12:53 PM","2025-12-02",12:53:00
"187","ISRG","Sale",570.89,"22,806","13,019,722","Dec 02 12:50 PM","2025-12-02",12:50:00
"188","WT","Proposed Sale",11.12,"6,820","75,870","Dec 02 12:22 PM","2025-12-02",12:22:00
"189","RXRX","Proposed Sale",4.37,"220,000","961,400","Dec 02 12:15 PM","2025-12-02",12:15:00
"190","VECO","Proposed Sale",29.08,"25,000","726,993","Dec 02 12:13 PM","2025-12-02",12:13:00
"191","ARAY","Proposed Sale",1.02,"19,993","20,393","Dec 02 11:55 AM","2025-12-02",11:55:00
"192","SNCY","Proposed Sale",13.95,"623","8,691","Dec 02 11:45 AM","2025-12-02",11:45:00
"193","ARAY","Proposed Sale",1.02,"68,058","69,419","Dec 02 11:35 AM","2025-12-02",11:35:00
"194","MSFT","Proposed Sale",491.52,"12,750","6,266,832","Dec 02 11:34 AM","2025-12-02",11:34:00
"195","NVDA","Proposed Sale",183.93,"12,728","2,341,117","Dec 02 11:34 AM","2025-12-02",11:34:00
"196","AVA","Sale",40.87,"127","5,190","Dec 02 11:33 AM","2025-12-02",11:33:00
"197","CBZ","Proposed Sale",48.61,"8,288","402,879","Dec 02 11:30 AM","2025-12-02",11:30:00
"198","LDI","Proposed Sale",2.74,"9,403","25,719","Dec 02 11:02 AM","2025-12-02",11:02:00
"199","MCD","Sale",305.5,"6,567","2,006,218","Dec 02 10:59 AM","2025-12-02",10:59:00
"200","GNW","Proposed Sale",8.64,"40,000","345,600","Dec 02 10:53 AM","2025-12-02",10:53:00
"201","KEX","Sale",114.12,"1,500","171,180","Dec 02 10:53 AM","2025-12-02",10:53:00
"202","MEGI","Sale",14.34,"16,338","234,287","Dec 02 10:50 AM","2025-12-02",10:50:00
