"ticker","transaction","cost_share","number_shares","total_value","date","time"
"SERV","Proposed Sale",9.82,"2,057","20,203","2025-12-02","03:12 PM"
"PTCT","Proposed Sale",79.07,"3,428","271,063","2025-12-02","03:11 PM"
"BFLY","Proposed Sale",2.83,"1,686","4,769","2025-12-02","03:11 PM"
"PRU","Proposed Sale",107.69,"8,000","861,520","2025-12-02","02:56 PM"
"BCRX","Proposed Sale",7.21,"50,906","367,216","2025-12-02","02:09 PM"
"ABNB","Proposed Sale",120,"11,539","1,384,680","2025-12-02","02:02 PM"
"FNB","Proposed Sale",16.75,"40,000","670,093","2025-12-02","01:46 PM"
"MNSB","Proposed Sale",19.7,"40,586","799,544","2025-12-02","01:26 PM"
"MDB","Proposed Sale",409.94,"4,000","1,639,743","2025-12-02","01:20 PM"
"KAR","Proposed Sale",25.86,"88,062","2,277,283","2025-12-02","12:59 PM"
"REXR","Proposed Sale",41.5,"80,250","3,330,375","2025-12-02","12:55 PM"
"GDV","Sale",26.78,"420","11,248","2025-12-02","12:53 PM"
"GDV","Sale",26.86,"500","13,430","2025-12-02","12:53 PM"
"ISRG","Sale",570.89,"22,806","13,019,722","2025-12-02","12:50 PM"
"WT","Proposed Sale",11.12,"6,820","75,870","2025-12-02","12:22 PM"
"RXRX","Proposed Sale",4.37,"220,000","961,400","2025-12-02","12:15 PM"
"VECO","Proposed Sale",29.08,"25,000","726,993","2025-12-02","12:13 PM"
"ARAY","Proposed Sale",1.02,"19,993","20,393","2025-12-02","11:55 AM"
"SNCY","Proposed Sale",13.95,"623","8,691","2025-12-02","11:45 AM"
"ARAY","Proposed Sale",1.02,"68,058","69,419","2025-12-02","11:35 AM"
"MSFT","Proposed Sale",491.52,"12,750","6,266,832","2025-12-02","11:34 AM"
"NVDA","Proposed Sale",183.93,"12,728","2,341,117","2025-12-02","11:34 AM"
"AVA","Sale",40.87,"127","5,190","2025-12-02","11:33 AM"
"CBZ","Proposed Sale",48.61,"8,288","402,879","2025-12-02","11:30 AM"
"LDI","Proposed Sale",2.74,"9,403","25,719","2025-12-02","11:02 AM"
"MCD","Sale",305.5,"6,567","2,006,218","2025-12-02","10:59 AM"
"GNW","Proposed Sale",8.64,"40,000","345,600","2025-12-02","10:53 AM"
"KEX","Sale",114.12,"1,500","171,180","2025-12-02","10:53 AM"
"MEGI","Sale",14.34,"16,338","234,287","2025-12-02","10:50 AM"
"MEGI","Sale",14.35,"19,919","285,838","2025-12-02","10:50 AM"
"KLIC","Proposed Sale",44.95,"198,000","8,900,100","2025-12-02","10:50 AM"
"SHIP","Proposed Sale",10.57,"30,000","317,100","2025-12-02","10:35 AM"
"BDC","Proposed Sale",114.13,"1,713","195,505","2025-12-02","10:35 AM"
"CORT","Proposed Sale",79.78,"20,000","1,595,600","2025-12-02","10:34 AM"
"PGNY","Proposed Sale",25.5,"213","5,432","2025-12-02","10:24 AM"
"ECAT","Sale",16.02,"9,389","150,412","2025-12-02","10:11 AM"
"ECAT","Sale",16.03,"54,394","871,936","2025-12-02","10:11 AM"
"VCEL","Proposed Sale",39.14,"1,652","64,659","2025-12-02","10:10 AM"
"AORT","Proposed Sale",46.27,"30,921","1,430,715","2025-12-02","10:07 AM"
"GFS","Proposed Sale",35.99,"4,000","143,960","2025-12-02","10:07 AM"
"MKSI","Proposed Sale",158.81,"300","47,643","2025-12-02","10:05 AM"
"SLB","Sale",35.82,"5,500","197,010","2025-12-02","10:04 AM"
"TMO","Proposed Sale",581.94,"6,912","4,022,369","2025-12-02","10:00 AM"
"BXP","Sale",72.18,"36,314","2,621,134","2025-12-02","09:58 AM"
"CARG","Proposed Sale",35.68,"1,346","48,025","2025-12-02","09:57 AM"
"SPH","Proposed Sale",19.31,"10,000","193,100","2025-12-02","09:54 AM"
"CBLL","Proposed Sale",16.67,"827","13,786","2025-12-02","09:50 AM"
"LSCC","Sale",69.93,"5,708","399,148","2025-12-02","09:47 AM"
