"ticker","transaction","cost_share","number_shares","total_value","datetime","date","time"
"ALG","Buy",163.48,"304","49,697","Dec 01 03:13 PM","2025-12-01","15:13:00"
"BOTJ","Buy",16.65,"1,014","16,883","Dec 01 01:59 PM","2025-12-01","13:59:00"
"BOTJ","Buy",17.59,"100","1,759","Dec 01 01:59 PM","2025-12-01","13:59:00"
"RCG","Buy",2.59,"360","932","Dec 01 01:29 PM","2025-12-01","13:29:00"
"RCG","Buy",2.59,"774","2,005","Dec 01 01:29 PM","2025-12-01","13:29:00"
"SCKT","Buy",1.28,"7,286","9,326","Dec 01 12:31 PM","2025-12-01","12:31:00"
"SCKT","Buy",1.31,"8,993","11,801","Dec 01 12:31 PM","2025-12-01","12:31:00"
"SCKT","Buy",1.33,"5,000","6,674","Dec 01 12:04 PM","2025-12-01","12:04:00"
"SCKT","Buy",1.33,"5,000","6,664","Dec 01 12:04 PM","2025-12-01","12:04:00"
"COSM","Buy",0.64,"76,360","49,000","Dec 01 12:02 PM","2025-12-01","12:02:00"
"ADTN","Buy",8.02,"6,150","49,323","Dec 01 12:00 PM","2025-12-01","12:00:00"
"ADTN","Buy",7.81,"12,859","100,429","Dec 01 12:00 PM","2025-12-01","12:00:00"
"TPL","Buy",867.31,"1","867","Dec 01 11:51 AM","2025-12-01","11:51:00"
"TRST","Buy",42.69,"200","8,538","Dec 01 11:13 AM","2025-12-01","11:13:00"
"OTH","Buy",3.5,"5,000","17,500","Dec 01 10:45 AM","2025-12-01","10:45:00"
"OTH","Buy",3.5,"5,000","17,500","Dec 01 10:45 AM","2025-12-01","10:45:00"
"CZFS","Buy",53.1,"16","850","Dec 01 09:54 AM","2025-12-01","09:54:00"
